id,page,chapter,verseNumber,verseText,chapterName
1,1,1,1,بسم الله الرحمن الرحيم,الفاتحة
2,1,1,2,الحمد لله رب العالمين,الفاتحة
3,1,1,3,الرحمن الرحيم,الفاتحة
4,1,1,4,مالك يوم الدين,الفاتحة
5,1,1,5,إياك نعبد وإياك نستعين,الفاتحة
6,1,1,6,اهدنا الصراط المستقيم,الفاتحة
7,1,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,الفاتحة
8,2,2,1,الم,البقرة
9,2,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,البقرة
10,2,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,البقرة
11,2,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,البقرة
12,2,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,البقرة
13,3,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,البقرة
14,3,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,البقرة
15,3,2,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,البقرة
16,3,2,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,البقرة
17,3,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,البقرة
18,3,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,البقرة
19,3,2,12,ألا إنهم هم المفسدون ولكن لا يشعرون,البقرة
20,3,2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,البقرة
21,3,2,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,البقرة
22,3,2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,البقرة
23,3,2,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,البقرة
24,4,2,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,البقرة
25,4,2,18,صم بكم عمي فهم لا يرجعون,البقرة
26,4,2,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين,البقرة
27,4,2,20,يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير,البقرة
28,4,2,21,ياأيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,البقرة
29,4,2,22,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,البقرة
30,4,2,23,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,البقرة
31,4,2,24,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين,البقرة
32,5,2,25,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل وأتوا به متشابها ولهم فيها أزواج مطهرة وهم فيها خالدون,البقرة
33,5,2,26,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها فأما الذين آمنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به إلا الفاسقين,البقرة
34,5,2,27,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض أولئك هم الخاسرون,البقرة
35,5,2,28,كيف تكفرون بالله وكنتم أمواتا فأحياكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,البقرة
36,5,2,29,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سموات وهو بكل شيء عليم,البقرة
37,6,2,30,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون,البقرة
38,6,2,31,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين,البقرة
39,6,2,32,قالوا سبحانك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم,البقرة
40,6,2,33,قال ياآدم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السموات والأرض وأعلم ما تبدون وما كنتم تكتمون,البقرة
41,6,2,34,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين,البقرة
42,6,2,35,وقلنا ياآدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,البقرة
43,6,2,36,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الأرض مستقر ومتاع إلى حين,البقرة
44,6,2,37,فتلقى آدم من ربه كلمات فتاب عليه إنه هو التواب الرحيم,البقرة
45,7,2,38,قلنا اهبطوا منها جميعا فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,البقرة
46,7,2,39,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار هم فيها خالدون,البقرة
47,7,2,40,يابني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,البقرة
48,7,2,41,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,البقرة
49,7,2,42,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,البقرة
50,7,2,43,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين,البقرة
51,7,2,44,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون,البقرة
52,7,2,45,واستعينوا بالصبر والصلاة وإنها لكبيرة إلا على الخاشعين,البقرة
53,7,2,46,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,البقرة
54,7,2,47,يابني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,البقرة
55,7,2,48,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون,البقرة
56,8,2,49,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم,البقرة
57,8,2,50,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون,البقرة
58,8,2,51,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون,البقرة
59,8,2,52,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,البقرة
