Matched Surah Labels (Original -- Matched):
-------------------------------------------
سورة النجم -- النجم
سورة القمر -- القمر
سورة الرحمن -- الرحمن
سورة الواقعة -- الواقعة
سورة الحديد -- الحديد
سورة المجادلة -- المجادلة
سورة الحشر -- الحشر
سورة الممتحنة -- الممتحنة
سورة الصف -- الصف
سورة الجمعة -- الجمعة
سورة المنافقون -- المنافقون
سورة التغابن -- التغابن
سورة الطلاق -- الطلاق
سورة التحريم -- التحريم
سورة الملك -- الملك
سورة القلم -- القلم
سورة الحاقة -- الحاقة
سورة المعارج -- المعارج
سورة نوح -- نوح
سورة الجن -- الجن
سورة المزمل -- المزمل
سورة المدثر -- المدثر
سورة القيامة -- القيامة
سورة الإنسان -- الإنسان
سورة المرسلات -- المرسلات
سورة النبإ -- النبأ
سورة النازعات -- النازعات
سورة عبس -- عبس
سورة التكوير -- التكوير
سورة الانفطار -- الانفطار
سورة المطففين -- المطففين
سورة الانشقاق -- الانشقاق
سورة البروج -- البروج
سورة الطارق -- الطارق
سورة الأعلى -- الأعلى
سورة الغاشية -- الغاشية
سورة الفجر -- الفجر
سورة البلد -- البلد
سورة الشمس -- الشمس
سورة الليل -- الليل
سورة الضحى -- الضحى
سورة (ألم نشرح) -- الشرح
سورة التين -- التين
سورة (اقرأ) -- العلق
سورة القدر -- القدر
سورة القيمة -- البينة
سورة الزلزلة -- الزلزلة
سورة العاديات -- العاديات
سورة القارعة -- القارعة
سورة التكاثر -- التكاثر
سورة العصر -- العصر
سورة الهمزة -- الهمزة
سورة الفيل -- الفيل
سورة قريش -- قريش
سورة الماعون -- الماعون
سورة الكوثر -- الكوثر
سورة الكافرون -- الكافرون
سورة النصر -- النصر
سورة (تبت) -- المسد
سورة الإخلاص -- الإخلاص
سورة الفلق -- الفلق
سورة الناس -- الناس

Unmatched Labels (from provided list):
--------------------------------------
